,0
2008-01-02,100000.0
2008-01-03,100270.0
2008-01-04,101140.0
2008-01-07,101520.0
2008-01-08,103020.0
2008-01-09,103530.0
2008-01-10,104510.0
2008-01-11,104940.0
2008-01-14,105400.0
2008-01-15,107400.0
2008-01-16,109460.0
2008-01-17,110730.0
2008-01-18,111140.0
2008-01-22,112300.0
2008-01-23,116730.0
2008-01-24,117420.0
2008-01-25,118620.0
2008-01-28,120380.0
2008-01-29,122090.0
2008-01-30,122180.0
2008-01-31,122230.0
2008-02-01,123000.0
2008-02-04,124850.0
2008-02-05,126980.0
2008-02-06,127130.0
2008-02-07,128400.0
2008-02-08,129580.0
2008-02-11,130010.0
2008-02-12,130040.0
2008-02-13,130760.0
2008-02-14,132120.0
2008-02-15,132700.0
2008-02-19,133080.0
2008-02-20,133370.0
2008-02-21,133440.0
2008-02-22,134220.0
2008-02-25,134310.0
2008-02-26,134590.0
2008-02-27,135220.0
2008-02-28,137020.0
2008-02-29,138650.0
2008-03-03,139410.0
2008-03-04,139980.0
2008-03-05,140390.0
2008-03-06,141640.0
2008-03-07,141810.0
2008-03-10,142790.0
2008-03-11,144940.0
2008-03-12,145150.0
2008-03-13,145610.0
2008-03-14,147040.0
2008-03-17,150480.0
2008-03-18,152670.0
2008-03-19,152890.0
2008-03-20,156080.0
2008-03-24,156610.0
2008-03-25,157060.0
2008-03-26,158830.0
2008-03-27,159970.0
2008-03-28,160110.0
2008-03-31,160330.0
2008-04-01,164020.0
2008-04-02,164370.0
2008-04-03,164410.0
2008-04-04,165060.0
2008-04-07,165090.0
2008-04-08,165720.0
2008-04-09,166230.0
2008-04-10,166640.0
2008-04-11,167860.0
2008-04-14,168810.0
2008-04-15,169380.0
2008-04-16,171990.0
2008-04-17,172140.0
2008-04-18,172730.0
2008-04-21,173220.0
2008-04-22,173610.0
2008-04-23,174070.0
2008-04-24,175740.0
2008-04-25,176500.0
2008-04-28,176920.0
2008-04-29,177160.0
2008-04-30,177690.0
2008-05-01,179160.0
2008-05-02,179700.0
2008-05-05,180310.0
2008-05-06,180490.0
2008-05-07,181980.0
2008-05-08,182460.0
2008-05-09,182940.0
2008-05-12,183550.0
2008-05-13,185170.0
2008-05-14,185570.0
2008-05-15,186590.0
2008-05-16,187040.0
2008-05-19,187540.0
2008-05-20,189640.0
2008-05-21,190820.0
2008-05-22,191400.0
2008-05-23,192070.0
2008-05-27,192700.0
2008-05-28,192840.0
2008-05-29,193500.0
2008-05-30,194030.0
2008-06-02,194810.0
2008-06-03,195050.0
2008-06-04,195290.0
2008-06-05,195720.0
2008-06-06,197560.0
2008-06-09,199940.0
2008-06-10,200660.0
2008-06-11,201730.0
2008-06-12,202540.0
2008-06-13,203990.0
2008-06-16,204320.0
2008-06-17,205150.0
2008-06-18,205420.0
2008-06-19,205510.0
2008-06-20,206230.0
2008-06-23,207140.0
2008-06-24,207920.0
2008-06-25,208090.0
2008-06-26,209550.0
2008-06-27,210720.0
2008-06-30,211400.0
2008-07-01,211480.0
2008-07-02,212020.0
2008-07-03,212680.0
2008-07-07,213860.0
2008-07-08,215470.0
2008-07-09,216850.0
2008-07-10,217060.0
2008-07-11,218310.0
2008-07-14,219680.0
2008-07-15,220300.0
2008-07-16,224870.0
2008-07-17,229390.0
2008-07-18,230120.0
2008-07-21,231390.0
2008-07-22,233450.0
2008-07-23,234470.0
2008-07-24,237090.0
2008-07-25,237440.0
2008-07-28,239170.0
2008-07-29,242040.0
2008-07-30,242810.0
2008-07-31,243690.0
2008-08-01,243810.0
2008-08-04,244380.0
2008-08-05,246000.0
2008-08-06,246460.0
2008-08-07,247930.0
2008-08-08,249100.0
2008-08-11,249860.0
2008-08-12,253550.0
2008-08-13,254490.0
2008-08-14,255330.0
2008-08-15,255570.0
2008-08-18,256810.0
2008-08-19,257880.0
2008-08-20,259200.0
2008-08-21,259890.0
2008-08-22,261200.0
2008-08-25,262630.0
2008-08-26,263070.0
2008-08-27,263570.0
2008-08-28,265180.0
2008-08-29,265540.0
2008-09-02,266010.0
2008-09-03,266680.0
2008-09-04,268360.0
2008-09-05,269930.0
2008-09-08,271750.0
2008-09-09,273690.0
2008-09-10,273750.0
2008-09-11,275840.0
2008-09-12,276290.0
2008-09-15,280160.0
2008-09-16,283630.0
2008-09-17,288250.0
2008-09-18,292460.0
2008-09-19,298740.0
2008-09-22,304550.0
2008-09-23,304770.0
2008-09-24,304830.0
2008-09-25,307580.0
2008-09-26,312030.0
2008-09-29,318760.0
2008-09-30,324060.0
2008-10-01,326780.0
2008-10-02,327340.0
2008-10-03,331040.0
2008-10-06,332820.0
2008-10-07,337200.0
2008-10-08,337220.0
2008-10-09,339680.0
2008-10-10,344330.0
2008-10-13,344660.0
2008-10-14,345860.0
2008-10-15,347940.0
2008-10-16,349810.0
2008-10-17,350900.0
2008-10-20,352150.0
2008-10-21,353010.0
2008-10-22,355420.0
2008-10-23,356060.0
2008-10-24,358330.0
2008-10-27,359670.0
2008-10-28,363040.0
2008-10-29,364810.0
2008-10-30,366600.0
2008-10-31,370000.0
2008-11-03,370480.0
2008-11-04,371830.0
2008-11-05,374600.0
2008-11-06,375500.0
2008-11-07,375980.0
2008-11-10,377230.0
2008-11-11,377290.0
2008-11-12,378960.0
2008-11-13,381420.0
2008-11-14,383970.0
2008-11-17,385560.0
2008-11-18,386150.0
2008-11-19,389590.0
2008-11-20,394360.0
2008-11-21,394980.0
2008-11-24,399530.0
2008-11-25,401590.0
2008-11-26,402380.0
2008-11-28,403360.0
2008-12-01,408550.0
2008-12-02,410800.0
2008-12-03,412420.0
2008-12-04,413190.0
2008-12-05,415320.0
2008-12-08,418260.0
